f0010:

W_Fdic:
the                 : 384     and                 : 162     of                  : 153     semantic            : 127     
['open', 'JJ']                     : 1       ['indicates', 'VBZ']               : 1       ['third', 'JJ']                    : 1       
['over', 'IN']                     : 1       ['usually', 'RB']                  : 1       ['resource', 'NNP']                : 1       
['average', 'JJ']                  : 1       ['topic', 'NN']                    : 1       ['java', 'NN']                     : 1       
['processes', 'VBZ']               : 1       ['prediction', 'VBZ']              : 1       ['unknown', 'JJ']                  : 1       
['hard', 'JJ']                     : 1       ['recorded', 'VBN']                : 1       ['hyperlinks', 'VB']               : 1       
['elements', 'NNS']                : 1       ['belong', 'VBP']                  : 1       ['owl', 'NNP']                     : 1       
['ruleml', 'NNP']                  : 1       ['search', 'NN']                   : 1       ['18', 'CD']                       : 1       
['sourceforge.net/projects/wvtool', 'JJ']: 1       ['obtained', 'VBN']                : 1       ['meaning', 'VBG']                 : 1       
['one', 'NN']                      : 1       ['focus', 'VBP']                   : 1       ['formulation', 'NN']              : 1       
['pairwise', 'JJ']                 : 1       ['occurrence', 'NNP']              : 1       ['classi?cation', 'NNP']           : 1       
['evolving', 'NNP']                : 1       ['title', 'NN']                    : 1       ['www.w3.org/submission/swrl/', 'CD']: 1       
['expansion', 'NN']                : 1       ['keywords', 'VBZ']                : 1       ['hypothesis', 'NNS']              : 1       
['exist', 'VB']                    : 1       ['topics', 'NNS']                  : 1       ['c1y', 'NNS']                     : 1       
['combining', 'VBG']               : 1       ['mean', 'NN']                     : 1       ['inverse', 'JJ']                  : 1       
['overlap', 'NN']                  : 1       ['swrl', 'NNP']                    : 1       ['attentions', 'NNS']              : 1       
['c.', 'NN']                       : 1       ['intersection', 'NN']             : 1       ['cluster', 'NNP']                 : 1       
['result', 'NN']                   : 1       ['union', 'NN']                    : 1       ['connect', 'VBP']                 : 1       
['event', 'NN']                    : 1       ['2nd', 'JJ']                      : 1       ['logic', 'NNP']                   : 1       
['book', 'NN']                     : 1       ['publishing', 'NN']               : 1       ['combine', 'VB']                  : 1       
['optional', 'JJ']                 : 1       ['activate', 'VBP']                : 1       ['generally', 'RB']                : 1       
['however', 'RB']                  : 1       ['size', 'NN']                     : 1       ['intervals', 'NNS']               : 1       
['updated', 'VBN']                 : 1       ['determining', 'VBG']             : 1       ['rule-on-attribute', 'NNP']       : 1       
['evolves', 'VBZ']                 : 1       ['indicators', 'NNS']              : 1       ['interactive', 'JJ']              : 1       
['representing', 'VBG']            : 1       ['without', 'IN']                  : 1       ['prediction', 'NNP']              : 1       
['well', 'RB']                     : 1       ['compares', 'VBZ']                : 1       ['sim_content', 'JJ']              : 1       
['setting', 'VBG']                 : 1       ['relation-based', 'JJ']           : 1       ['been', 'VBN']                    : 1       
['inconsistency', 'RB']            : 1       ['html', 'JJ']                     : 1       ['studied', 'VBN']                 : 1       
['belonging', 'VBG']               : 1       ['knowledge', 'NNP']               : 1       ['ir', 'NNP']                      : 1       
['exact', 'JJ']                    : 1       ['preferred', 'VBN']               : 1       ['takes', 'VBZ']                   : 1       
['coupled', 'JJ']                  : 1       ['vectors', 'VBZ']                 : 1       ['higher-level', 'JJ']             : 1       
['make', 'VB']                     : 1       ['similar', 'VBG']                 : 1       ['sameconference', 'NN']           : 1       
['prediction', 'NN']               : 1       ['models', 'NNS']                  : 1       ['semantic', 'NNP']                : 1       
['c2', 'JJ']                       : 1       ['web', 'JJ']                      : 1       ['no', 'DT']                       : 1       
['sequentially', 'RB']             : 1       ['nor', 'CC']                      : 1       ['drawn', 'VBN']                   : 1       
['major', 'JJ']                    : 1       ['address', 'NN']                  : 1       ['topology', 'NN']                 : 1       
['part', 'NN']                     : 1       ['representative', 'JJ']           : 1       ['relational', 'NN']               : 1       
['min_pr', 'NNP']                  : 1       ['sameaf?liation', 'NN']           : 1       ['hyperlinked', 'JJ']              : 1       
['ui', 'NN']                       : 1       ['implied', 'VBN']                 : 1       ['re?ned', 'VBN']                  : 1       
['both', 'PDT']                    : 1       ['searching', 'VBG']               : 1       ['interval', 'NN']                 : 1       
['retrieval', 'NN']                : 1       ['dx', 'VBP']                      : 1       ['depth', 'NN']                    : 1       
['partitioned', 'VBN']             : 1       ['as', 'RB']                       : 1       ['in?uenced', 'VBN']               : 1       
['attaching', 'VBG']               : 1       ['take', 'VBP']                    : 1       ['include', 'VBP']                 : 1       
['t1', 'NN']                       : 1       ['subcluster/partof', 'NN']        : 1       ['categorization', 'NN']           : 1       
['derives', 'VBZ']                 : 1       ['needed', 'VBN']                  : 1       ['linked', 'VBN']                  : 1       
['directories', 'NNS']             : 1       ['12', 'CD']                       : 1       ['sametopic', 'JJ']                : 1       
['sequential', 'NN']               : 1       ['package', 'NN']                  : 1       ['input', 'NN']                    : 1       
['introduced', 'VBN']              : 1       ['prede?ned', 'JJ']                : 1       ['learning', 'NN']                 : 1       
['?nd', 'VBP']                     : 1       ['comes', 'VBZ']                   : 1       ['high-dimensional', 'JJ']         : 1       
['rule', 'VBZ']                    : 1       ['rethinking', 'VBG']              : 1       ['relationship', 'JJ']             : 1       
['about', 'IN']                    : 1       ['facilitate', 'VB']               : 1       ['connecting', 'VBG']              : 1       
['documental', 'JJ']               : 1       ['iii', 'NNP']                     : 1       ['kinds', 'NNS']                   : 1       
['equation', 'NNP']                : 1       ['document-based', 'JJ']           : 1       ['self-organization', 'NN']        : 1       
['know', 'VB']                     : 1       ['enable', 'VBP']                  : 1       ['13', 'CD']                       : 1       
['appendices', 'NNS']              : 1       ['promote', 'VB']                  : 1       ['what', 'WP']                     : 1       
['through', 'IN']                  : 1       ['inference', 'VBP']               : 1       ['digital', 'JJ']                  : 1       
['all', 'PDT']                     : 1       ['ranges', 'NNS']                  : 1       ['occurrence', 'VBZ']              : 1       
['de?ne', 'VB']                    : 1       ['uncertainty', 'NN']              : 1       ['except', 'IN']                   : 1       
['framework', 'NN']                : 1       ['depend', 'VBP']                  : 1       ['publication', 'NN']              : 1       
['prede?ned', 'VBD']               : 1       ['lr', 'NNP']                      : 1       ['autonomous', 'JJ']               : 1       
['implemented', 'VBN']             : 1       ['communities', 'NNS']             : 1       ['represented', 'VBN']             : 1       
['corresponding', 'JJ']            : 1       ['domain-speci?c', 'JJ']           : 1       ['part-of', 'NNP']                 : 1       
['measuring', 'VBG']               : 1       ['share', 'VB']                    : 1       ['orders', 'NNS']                  : 1       
['have', 'VB']                     : 1       ['spaces', 'NNS']                  : 1       ['samelanguage', 'NN']             : 1       
['increase', 'VB']                 : 1       ['null', 'NN']                     : 1       ['computing', 'VBG']               : 1       
['anchor', 'VB']                   : 1       ['human', 'JJ']                    : 1       ['max_pr', 'NNP']                  : 1       
['emerging', 'VBG']                : 1       ['estimate', 'VB']                 : 1       ['22', 'CD']                       : 1       
['expanded', 'VBN']                : 1       ['cosine', 'NN']                   : 1       ['grid', 'NNP']                    : 1       
['tool', 'NNS']                    : 1       ['parts', 'NNS']                   : 1       ['because', 'RB']                  : 1       
['consequence', 'NN']              : 1       ['exceeds', 'VBZ']                 : 1       ['describes', 'VBZ']               : 1       
['hierarchically', 'RB']           : 1       ['largest', 'JJS']                 : 1       ['19', 'CD']                       : 1       
['evolve', 'VBZ']                  : 1       ['classi?cations', 'JJ']           : 1       ['venue', 'NN']                    : 1       
['sln-ds', 'NNS']                  : 1       ['exploiting', 'VBG']              : 1       ['dx', 'NN']                       : 1       
['classi?cation', 'JJ']            : 1       ['challenge', 'NN']                : 1       ['c2y', 'NNS']                     : 1       
['co-occurrences', 'JJ']           : 1       ['globally', 'RB']                 : 1       ['proposes', 'VBZ']                : 1       
['probabilities', 'NNS']           : 1       ['edition', 'NN']                  : 1       ['?exible', 'JJ']                  : 1       
['statistic', 'NN']                : 1       ['approximate', 'JJ']              : 1       ['appendix', 'NN']                 : 1       
['discovered', 'JJ']               : 1       ['success', 'NN']                  : 1       ['show', 'VBP']                    : 1       
['algorithms', 'NNS']              : 1       ['manually', 'RB']                 : 1       ['publish', 'JJ']                  : 1       
['automatic', 'NNP']               : 1       ['dn', 'RB']                       : 1       ['citations', 'NNS']               : 1       
['11', 'CD']                       : 1       ['automatic', 'VB']                : 1       ['humans', 'NNS']                  : 1       
['resource', 'NN']                 : 1       ['sln-e', 'NN']                    : 1       ['tgt', 'NNS']                     : 1       
['times', 'NNS']                   : 1       ['until', 'IN']                    : 1       ['document', 'NNS']                : 1       
['software', 'NN']                 : 1       ['initialization', 'NN']           : 1       ['extended', 'VBN']                : 1       
['ways', 'NNS']                    : 1       ['background', 'NN']               : 1       ['carries', 'VBZ']                 : 1       
['library', 'NN']                  : 1       ['ui', 'VBP']                      : 1       ['partof', 'NN']                   : 1       
['production', 'NN']               : 1       ['self-organized', 'JJ']           : 1       ['irrelevant', 'JJ']               : 1       
['act', 'VB']                      : 1       ['order', 'NN']                    : 1       ['caused', 'VBN']                  : 1       
['considered', 'VBN']              : 1       ['various', 'JJ']                  : 1       ['build', 'VB']                    : 1       
['inference', 'NNP']               : 1       ['mainly', 'RB']                   : 1       ['provides', 'VBZ']                : 1       
['cause', 'VB']                    : 1       ['reconstruction', 'NN']           : 1       ['cyber', 'NN']                    : 1       
['containing', 'VBG']              : 1       ['objects', 'NNS']                 : 1       ['recording', 'VBG']               : 1       
['relies', 'VBZ']                  : 1       ['implement', 'VB']                : 1       ['sim_content', 'NN']              : 1       
['insertion', 'NN']                : 1       ['abstract', 'JJ']                 : 1       ['algorithm', 'NNP']               : 1       
['laterthan', 'NN']                : 1       ['use', 'VBP']                     : 1       ['sequential', 'JJ']               : 1       
['determined', 'VBN']              : 1       ['increased', 'VBN']               : 1       ['libraries', 'NNS']               : 1       
['time-consuming', 'JJ']           : 1       ['create', 'VB']                   : 1       ['utility', 'NN']                  : 1       
['right', 'JJ']                    : 1       ['too', 'RB']                      : 1       ['measures', 'NNS']                : 1       
['degrees', 'NNS']                 : 1       ['most', 'RBS']                    : 1       ['cr', 'NNP']                      : 1       
['factors', 'NNS']                 : 1       ['components', 'NNS']              : 1       ['autonomy', 'NN']                 : 1       
['instances', 'NNS']               : 1       ['component', 'NN']                : 1       ['integrates', 'VBZ']              : 1       
['assigning', 'VBG']               : 1       ['explicitly', 'RB']               : 1       ['establishing', 'VBG']            : 1       
['sameyear', 'NN']                 : 1       ['add', 'VB']                      : 1       ['systematically', 'RB']           : 1       
['basic', 'JJ']                    : 1       ['extensible', 'JJ']               : 1       ['sln-d', 'JJ']                    : 1       
['insert', 'VB']                   : 1       ['contain', 'VBP']                 : 1       ['events', 'NNS']                  : 1       
['very', 'RB']                     : 1       ['editors', 'NNS']                 : 1       ['duplicate', 'JJ']                : 1       
['counting', 'VBG']                : 1       ['mode', 'NN']                     : 1       ['recalculated', 'JJ']             : 1       
['instance', 'NN']                 : 1       ['evolutionary', 'JJ']             : 1       ['subsite', 'JJ']                  : 1       
['speci?ed', 'JJ']                 : 1       ['lists', 'VBZ']                   : 1       ['representations', 'NNS']         : 1       
['human-created', 'JJ']            : 1       ['suppose', 'VB']                  : 1       ['recommend', 'VB']                : 1       
['shared', 'VBN']                  : 1       ['ch', 'NN']                       : 1       ['ranked', 'VBN']                  : 1       
['slns', 'NNP']                    : 1       ['suggest', 'VBP']                 : 1       ['find', 'JJ']                     : 1       
['inheriting', 'VBG']              : 1       ['description', 'NNP']             : 1       ['cocite', 'NN']                   : 1       
['similarities', 'NNS']            : 1       ['10', 'CD']                       : 1       ['infer', 'VB']                    : 1       
['cosine', 'JJ']                   : 1       ['single-pass', 'JJ']              : 1       ['sameproject', 'NN']              : 1       
['src', 'VB']                      : 1       ['constructing', 'VBG']            : 1       ['16', 'CD']                       : 1       
['experiment', 'NN']               : 1       ['journal/conference', 'NN']       : 1       ['inserted', 'JJ']                 : 1       
['ins', 'NN']                      : 1       ['tgt', 'VB']                      : 1       ['ranking', 'VBG']                 : 1       
['sharing', 'NN']                  : 1       ['17', 'CD']                       : 1       ['predicts', 'VBZ']                : 1       
['answering', 'VBG']               : 1       ['cluster', 'VB']                  : 1       ['overlay', 'NN']                  : 1       
['-rsb-', 'JJ']                    : 1       ['neighboring', 'JJ']              : 1       ['adoptability', 'NN']             : 1       
['issue', 'NN']                    : 1       ['documentation', 'NN']            : 1       ['future', 'JJ']                   : 1       
['common', 'JJ']                   : 1       ['name', 'NN']                     : 1       ['bayes', 'NNP']                   : 1       
['occur', 'VB']                    : 1       ['visualize', 'VB']                : 1       ['study', 'VB']                    : 1       
['consuming', 'VBG']               : 1       ['authors', 'NNS']                 : 1       ['mutual', 'JJ']                   : 1       
['predict', 'VBP']                 : 1       ['samples', 'NNS']                 : 1       ['help', 'VB']                     : 1       
['sameconf', 'NN']                 : 1       ['done', 'VBN']                    : 1       ['sameeditor', 'NN']               : 1       
['generated', 'JJ']                : 1       ['world', 'NN']                    : 1       ['represent', 'VBP']               : 1       
['formation', 'NN']                : 1       ['normalized', 'VBN']              : 1       ['layers', 'NNS']                  : 1       
['toccurs', 'VBZ']                 : 1       ['determine', 'VB']                : 1       ['self-evolutionary', 'VB']        : 1       
['support', 'VBP']                 : 1       ['middle', 'JJ']                   : 1       ['tgt', 'CD']                      : 1       
['predicted', 'VBN']               : 1       

W_Pdic:
limited             : ['JJ']                             all                 : ['PDT', 'DT']                      
classi?cations      : ['JJ', 'NNS']                      semantic            : ['JJ', 'NN', 'NNP']                
represent           : ['VB', 'VBP']                      caused              : ['VBN']                            
global              : ['JJ']                             focus               : ['VBP']                            
existing            : ['VBG']                            leads               : ['VBZ']                            
sim                 : ['NN']                             consists            : ['VBZ']                            
query               : ['JJ', 'NN']                       reasoning           : ['NN']                             
layers              : ['NNS']                            content             : ['NN']                             
inverse             : ['JJ']                             depend              : ['VBP']                            
calculate           : ['VB']                             graph               : ['NN', 'JJ']                       
similarity          : ['NN', 'NNP']                      editors             : ['NNS']                            
to                  : ['TO']                             discovering         : ['VBG']                            
nodes               : ['NNS']                            include             : ['VBP']                            
resources           : ['NNS']                            sameeditor          : ['NN']                             
updated             : ['VBN']                            very                : ['RB']                             
results             : ['NNS']                            difference          : ['NN']                             
exact               : ['JJ']                             level               : ['NN']                             
supports            : ['VBZ']                            venue               : ['NN']                             
t1                  : ['NNP', 'NN', 'NNS']               large               : ['JJ']                             
vector              : ['NN']                             form                : ['NN', 'VBP']                      
attentions          : ['NNS']                            equation            : ['NNP']                            
the                 : ['DT']                             occurrence          : ['NN', 'VBZ', 'NNP']               
be                  : ['VB']                             discover            : ['VB']                             
cyber               : ['NN']                             keywords            : ['NNS', 'VBZ']                     
imply               : ['VBP']                            insertion           : ['VBP', 'NN']                      
implemented         : ['VBN']                            machines            : ['NNS']                            
even                : ['RB']                             what                : ['WP']                             
cues                : ['NNS']                            domain-speci?c      : ['JJ']                             
classi?cation       : ['NN', 'NNP', 'JJ']                max_pr              : ['NNP']                            
networks            : ['NNS']                            experiment          : ['NN']                             
reconstruction      : ['NN']                             time-consuming      : ['JJ']                             
method              : ['NN']                             metadata            : ['NN', 'NNP']                      
body                : ['NN']                             evolving            : ['VBG', 'NNP']                     
focuses             : ['VBZ']                            self-evolutionary   : ['JJ', 'VB']                       
scienti?c           : ['JJ']                             respectively        : ['RB']                             
human               : ['JJ']                             component           : ['NN']                             
automatic           : ['JJ', 'NNP', 'VB']                ranges              : ['NNS']                            
objects             : ['NNS']                            let                 : ['VB']                             
web                 : ['NNP', 'NN', 'JJ']                address             : ['NN']                             
represented         : ['VBN']                            path                : ['NN']                             
change              : ['NN', 'VBP', 'VB', 'NNP']         obtained            : ['VBN']                            
search              : ['NN']                             de?ne               : ['VB']                             
subsite             : ['JJ']                             study               : ['VB']                             
studied             : ['VBN']                            anchor              : ['VB']                             
rdf                 : ['NNP']                            domains             : ['NNS']                            
formation           : ['NN']                             implement           : ['VB']                             
suitable            : ['JJ']                             changes             : ['NNS']                            
re?ect              : ['VBP']                            via                 : ['IN']                             
inference           : ['NN', 'JJ', 'NNP', 'VBP']         explained           : ['VBN']                            
predicted           : ['VBN']                            use                 : ['VBP']                            
from                : ['IN']                             takes               : ['VBZ']                            
would               : ['MD']                             probabilities       : ['NNS']                            
manually            : ['RB']                             two                 : ['CD']                             
calculation         : ['NN']                             duplicate           : ['JJ']                             
explicitly          : ['RB']                             therefore           : ['RB']                             
recommend           : ['VB']                             iteratively         : ['RB']                             
type                : ['NN']                             until               : ['IN']                             
more                : ['RBR', 'JJR']                     separated           : ['VBN']                            
sharing             : ['NN']                             comparison          : ['NN']                             
documental          : ['JJ']                             initiates           : ['VBZ']                            
appendix            : ['NN']                             normalized          : ['VBN']                            
iii                 : ['NNP']                            evolves             : ['VBZ']                            
word                : ['NN']                             cluster             : ['VB', 'NN', 'NNP', 'JJ']          
this                : ['DT']                             challenge           : ['NN']                             
values              : ['NNS']                            can                 : ['MD']                             
subcluster          : ['NN']                             following           : ['JJ', 'VBG']                      
specialized         : ['VBN']                            example             : ['NN']                             
figure              : ['NN']                             predict             : ['VB', 'VBP']                      
attribute           : ['NNP']                            share               : ['VB']                             
belonging           : ['VBG']                            topic               : ['NN']                             
indicates           : ['VBZ']                            minimum             : ['JJ']                             
lower-bounded       : ['JJ']                             counting            : ['VBG']                            
occur               : ['JJ', 'VB']                       information         : ['NN']                             
needs               : ['VBZ']                            worldview           : ['NN']                             
di                  : ['NNP', 'FW']                      machine             : ['NN']                             
maps                : ['NNS']                            intelligent         : ['JJ']                             
classify            : ['VB']                             simplicity          : ['NN']                             
description         : ['NNP']                            may                 : ['MD']                             
after               : ['IN']                             derived             : ['VBN', 'JJ']                      
publishtime         : ['NN']                             applications        : ['NNS']                            
independent         : ['JJ']                             k-nn                : ['JJ']                             
representations     : ['NNS']                            derives             : ['VBZ']                            
data                : ['NN', 'NNS']                      types               : ['NNS']                            
?rst                : ['JJ', 'NN']                       third               : ['JJ']                             
documentation       : ['NN']                             adoptability        : ['NN']                             
or                  : ['CC']                             si                  : ['NN']                             
algorithms          : ['NNS']                            representation      : ['NN']                             
retrieval           : ['NN']                             typical             : ['JJ']                             
evolutionary        : ['JJ']                             words               : ['NNS']                            
over                : ['IN']                             mainly              : ['RB']                             
www.w3.org/2004/owl/: ['NNP']                            paper               : ['NN']                             
including           : ['VBG']                            statistical         : ['JJ']                             
its                 : ['PRP$']                           human-created       : ['JJ']                             
derive              : ['VB']                             22                  : ['CD']                             
chosen              : ['VBN']                            cocite              : ['NN']                             
li                  : ['NN']                             html                : ['JJ']                             
degrees             : ['NNS']                            clusters            : ['NNS']                            
contextual          : ['JJ']                             then                : ['RB']                             
them                : ['PRP']                            was                 : ['VBD']                            
similar             : ['JJ', 'VBG']                      evolution           : ['NN']                             
framework           : ['NN']                             they                : ['PRP']                            
not                 : ['RB']                             nor                 : ['CC']                             
instanceof          : ['NN']                             represents          : ['VBZ']                            
document            : ['NN', 'NNS', 'NNP', 'VB', 'FW']   inheriting          : ['VBG']                            
directories         : ['NNS']                            loosely             : ['VB']                             
establishing        : ['VBG']                            -lsb-               : ['CD', 'NNP', 'VBG']               
mode                : ['NN']                             arrow               : ['NN']                             
each                : ['DT']                             assigning           : ['VBG']                            
found               : ['VBN']                            mean                : ['NN']                             
rethinking          : ['VBG']                            activate            : ['VBP']                            
weight              : ['NN']                             classifying         : ['VBG']                            
t2                  : ['NNP']                            hard                : ['JJ']                             
co-occurrence       : ['NN', 'JJ']                       related             : ['VBN', 'JJ']                      
used                : ['VBN']                            connect             : ['VBP']                            
combining           : ['VBG']                            event               : ['NN']                             
out                 : ['RP']                             network             : ['NN']                             
space               : ['NN']                             integrates          : ['VBZ']                            
interference        : ['NN']                             publish             : ['JJ']                             
increase            : ['NN', 'VB']                       adapt               : ['VB']                             
realizing           : ['VBG']                            denoted             : ['VBN']                            
formula             : ['NN']                             newly               : ['RB']                             
issue               : ['NN']                             upper-bounded       : ['JJ']                             
shows               : ['VBZ']                            occurs              : ['VBZ']                            
queries             : ['NNS']                            given               : ['VBN']                            
approaches          : ['NNS']                            categorization      : ['NN']                             
advantages          : ['NNS']                            bayes               : ['NNP']                            
besides             : ['IN']                             estimate            : ['VB']                             
pairs               : ['NNS']                            language            : ['NN']                             
determining         : ['VBG']                            could               : ['MD']                             
times               : ['NNS']                            length              : ['NN']                             
ruleml              : ['NNP']                            hence               : ['RB']                             
relational          : ['JJ', 'NNP', 'NN']                facilitate          : ['VB']                             
major               : ['JJ']                             there               : ['EX']                             
features            : ['NNS']                            probability         : ['NN']                             
number              : ['NN']                             one                 : ['CD', 'NN']                       
instances           : ['NNS']                            done                : ['VBN']                            
relations           : ['NNS', 'NNP']                     such                : ['JJ']                             
carry               : ['VB']                             open                : ['JJ']                             
size                : ['NN']                             little              : ['JJ']                             
publication         : ['NN']                             their               : ['PRP$']                           
unknown             : ['JJ']                             structured          : ['JJ']                             
adopted             : ['JJ', 'VBN']                      needed              : ['VBN']                            
too                 : ['RB']                             relationship        : ['NN', 'JJ']                       
using               : ['VBG']                            ch                  : ['NN']                             
tool                : ['NNS']                            lists               : ['VBZ']                            
prediction          : ['NNP', 'VBZ', 'NN']               part                : ['NN']                             
authors             : ['NNS']                            representing        : ['VBG']                            
institution         : ['NN']                             semantics           : ['NNP']                            
11                  : ['CD']                             wide                : ['NNP']                            
13                  : ['CD']                             12                  : ['CD']                             
15                  : ['CD']                             14                  : ['CD']                             
17                  : ['CD']                             16                  : ['CD']                             
19                  : ['CD']                             18                  : ['CD']                             
iteration           : ['NN']                             second              : ['JJ']                             
sln-ds              : ['NNS']                            recording           : ['VBG']                            
future              : ['JJ']                             pairwise            : ['JJ']                             
were                : ['VBD']                            classi?ed           : ['VBN']                            
interactive         : ['JJ']                             and                 : ['CC', 'NNP']                      
topics              : ['NNS']                            higher-level        : ['JJ']                             
have                : ['VBP', 'VB']                      null                : ['NN']                             
any                 : ['DT']                             contents            : ['NNS']                            
paths               : ['NNS']                            documents           : ['NNS', 'NNP']                     
built               : ['VBN']                            answering           : ['VBG']                            
mechanism           : ['NN']                             extracted           : ['VBN']                            
potential           : ['JJ']                             take                : ['VBP']                            
which               : ['WDT']                            added               : ['VBN']                            
measures            : ['NNS']                            most                : ['RBS']                            
connected           : ['JJ']                             pair                : ['NN']                             
measured            : ['VBN']                            pages               : ['NNS']                            
inconsistency       : ['RB']                             cause               : ['VB']                             
considered          : ['VBN']                            neighboring         : ['JJ']                             
calculated          : ['VBN']                            inferred            : ['VBN']                            
order               : ['NN']                             graphs              : ['NNS']                            
construction        : ['NN']                             sourceforge.net/projects/wvtool: ['JJ']                             
-rcb-               : ['-RRB-']                          emerging            : ['VBG']                            
show                : ['VBP']                            samejournal         : ['NN']                             
text                : ['NN']                             discovered          : ['VBN', 'JJ']                      
spaces              : ['NNS']                            relation            : ['NN']                             
threshold           : ['NN']                             co-occur            : ['JJ', 'NN']                       
d2                  : ['CD', 'NNS', 'JJ']                find                : ['JJ']                             
d1                  : ['NNS', 'CD', 'NNP', 'JJ']         sameaf?liation      : ['NN']                             
hyperlinked         : ['JJ']                             based               : ['VBN']                            
knowledge           : ['NNP', 'NN']                      title               : ['NN']                             
assertion           : ['NN']                             should              : ['MD']                             
entities            : ['NNS']                            subcluster/partof   : ['NN']                             
sequential          : ['NN', 'JJ']                       equipped            : ['VBN']                            
local               : ['JJ']                             merged              : ['VBN']                            
dn                  : ['RB']                             ranking             : ['VBG']                            
intractable         : ['JJ']                             means               : ['VBZ']                            
kind                : ['NN']                             preferred           : ['VBN']                            
joint               : ['JJ']                             dx                  : ['VBP', 'NN']                      
new                 : ['JJ', 'NNP']                      during              : ['IN']                             
target              : ['NN']                             processes           : ['VBZ']                            
resource            : ['NN', 'NNP']                      keyword             : ['JJ', 'NNP', 'NN', 'VBN', 'VBD']  
proposes            : ['VBZ']                            extends             : ['VBZ']                            
book                : ['NN']                             common              : ['JJ']                             
contain             : ['VBP']                            through             : ['IN']                             
cycles              : ['NNS']                            where               : ['WRB']                            
set                 : ['VBN', 'NN', 'VBD']               constructing        : ['VBG']                            
exists              : ['VBZ']                            acquired            : ['VBN']                            
intelligence        : ['NN']                             humans              : ['NNS']                            
wvtool              : ['NN']                             edition             : ['NN']                             
are                 : ['VBP']                            -rsb-               : ['NN', 'NNP', 'NNS', 'CD', 'JJ']   
techniques          : ['NNS']                            project             : ['NN']                             
visualize           : ['VB']                             ways                : ['NNS']                            
c2x                 : ['NNS']                            c2y                 : ['NNS']                            
segment             : ['NN']                             consequence         : ['NN']                             
libraries           : ['NNS']                            hyperlinks          : ['NNS', 'VB']                      
determined          : ['VBN']                            various             : ['JJ']                             
between             : ['IN']                             drawn               : ['VBN']                            
neither             : ['CC']                             approach            : ['NN']                             
discovery           : ['NN']                             knowing             : ['VBG']                            
we                  : ['PRP']                            ability             : ['NN']                             
nature              : ['NN']                             citation            : ['NNP', 'NN']                      
however             : ['RB']                             ranked              : ['VBN']                            
hypothesis          : ['NNS']                            autonomy            : ['NN']                             
topology            : ['NN']                             both                : ['PDT']                            
hyperlink           : ['NN']                             many                : ['JJ']                             
uncertainty         : ['NN']                             according           : ['VBG']                            
logic               : ['NNP']                            exceeds             : ['VBZ']                            
attributes          : ['NNS', 'VBZ']                     whole               : ['JJ']                             
comes               : ['VBZ']                            among               : ['IN']                             
relevant            : ['JJ']                             tgt                 : ['VB', 'NN', 'CD', 'RB', 'NNS']    
large-scale         : ['JJ']                             simple              : ['JJ']                             
2nd                 : ['JJ']                             learning            : ['NN']                             
table               : ['NNP']                            considers           : ['VBZ']                            
pr                  : ['NNP']                            consuming           : ['VBG']                            
java                : ['NN']                             publishing          : ['NN']                             
basis               : ['NN']                             union               : ['NN']                             
optional            : ['JJ']                             create              : ['VB']                             
-rrb-               : ['-RRB-']                          been                : ['VBN']                            
attaching           : ['VBG']                            sub-networks        : ['NNS']                            
describes           : ['VBZ']                            basic               : ['JJ']                             
indicators          : ['NNS']                            lr                  : ['NNP']                            
enable              : ['VBP']                            corresponding       : ['JJ']                             
easy                : ['JJ']                             self-organized      : ['JJ']                             
sim_vec             : ['JJ']                             min_pr              : ['NNP']                            
representative      : ['JJ']                             bayesian            : ['NNP']                            
c2                  : ['NNP', 'NNS', 'CD', 'JJ']         c1                  : ['NNP', 'NNS', 'CD']               
general             : ['JJ']                             irrelevant          : ['JJ']                             
?nding              : ['VBG']                            measuring           : ['VBG']                            
uncertain           : ['JJ']                             re?ects             : ['VBZ']                            
these               : ['DT']                             expanded            : ['VBN']                            
www.w3.org/rdf/     : ['NNP']                            will                : ['MD']                             
document-based      : ['JJ']                             sln                 : ['NNP', 'NN']                      
suppose             : ['VB']                             partitioned         : ['VBN']                            
sameconf            : ['NN']                             sametopic           : ['JJ']                             
adjusts             : ['VBZ']                            coupled             : ['JJ', 'VBN']                      
characteristics     : ['NNS']                            is                  : ['VBZ']                            
ir                  : ['NNP']                            it                  : ['PRP']                            
equal               : ['JJ']                             ii                  : ['NNP']                            
middle              : ['JJ']                             in                  : ['IN']                             
sameproject         : ['NN']                             if                  : ['IN']                             
sequentially        : ['RB']                             containing          : ['VBG']                            
author              : ['NN']                             suggest             : ['VBP']                            
make                : ['VB']                             belong              : ['VB', 'VBP']                      
same                : ['JJ']                             linked              : ['VBN']                            
parts               : ['NNS']                            largest             : ['JJS']                            
several             : ['JJ']                             events              : ['NNS']                            
higher              : ['JJR']                            swrl                : ['NNP']                            
evolve              : ['VBZ', 'VB']                      extended            : ['VBN']                            
?exible             : ['JJ']                             initialization      : ['NN']                             
usually             : ['RB']                             levels              : ['NNS']                            
user                : ['NN']                             on                  : ['IN']                             
cr                  : ['NNP']                            reference           : ['NN']                             
keep                : ['VBP']                            relies              : ['VBZ']                            
sameyear            : ['NN']                             well                : ['RB']                             
analysis            : ['NN']                             thought             : ['NN']                             
re?ned              : ['VBN']                            without             : ['IN']                             
