f0008:

W_Fdic:
the                 : 778     and                 : 281     of                  : 269     resource            : 244     
who                 : 3       falls               : 3       sometimes           : 3       programming         : 3       
find                : 3       knowledge           : 3       distributed         : 3       entities            : 3       
dependent           : 3       obtain              : 3       target              : 3       evolution           : 3       
maximum             : 3       college             : 3       evaluation          : 3       parent              : 3       
interfaces          : 3       subject             : 3       large-scale         : 3       create              : 3       
describes           : 3       restrictions        : 3       value               : 3       applies             : 3       
thus                : 3       cluster             : 3       normalization       : 3       performance         : 3       
min                 : 3       without             : 3       entry               : 3       browsing            : 3       
drawn               : 3       adding              : 3       multi-layer         : 3       evaluate            : 3       
top-level           : 3       depicts             : 3       hotel               : 3       become              : 3       
adaptation          : 3       matching            : 3       eliminate           : 3       locate              : 3       
unified             : 3       dependency          : 3       range               : 3       ensure              : 3       
down                : 3       xn-1                : 3       browser             : 3       role                : 3       
n.                  : 3       enable              : 3       42                  : 3       digital             : 3       
a2                  : 3       assume              : 3       proposed            : 3       2001                : 3       
2007                : 3       concept             : 2       fig.                : 2       3-dimensional       : 2       
calculate           : 2       multi-facet         : 2       ti                  : 2       far                 : 2       
disjoin             : 2       dataspace           : 2       independence        : 2       uk                  : 2       
insertion           : 2       further             : 2       giving              : 2       satisfy             : 2       
interdependent      : 2       understanding       : 2       path                : 2       37                  : 2       
published           : 2       york                : 2       emerge              : 2       therefore           : 2       
associated          : 2       datamining          : 2       line                : 2       cooperate           : 2       
cases               : 2       sub-coordinate      : 2       join                : 2       science             : 2       
challenge           : 2       work                : 2       obvious             : 2       strategies          : 2       
root                : 2       0.3                 : 2       0.2                 : 2       0.7                 : 2       
minimum             : 2       standard            : 2       redundancy          : 2       versatile           : 2       
discussion          : 2       regions             : 2       how                 : 2       criterion           : 2       
extensions          : 2       edinburgh           : 2       ubiquitous          : 2       mapping             : 2       
designed            : 2       wave                : 2       sets                : 2       maintain            : 2       
keeps               : 2       operate             : 2       retrieval           : 2       developed           : 2       
kong                : 2       experiments         : 2       lp                  : 2       21                  : 2       
temporal            : 2       constitutes         : 2       good                : 2       greater             : 2       
food                : 2       practice            : 2       budapest            : 2       sensortype          : 2       
hierarchical        : 2       communities         : 2       nor                 : 2       e-applications      : 2       
semantics           : 2       requires            : 2       higher              : 2       domain              : 2       
idea                : 2       hawaii              : 2       entertainment       : 2       content             : 2       
transforming        : 2       adapt               : 2       prs2                : 2       issue               : 2       
interactions        : 2       retrieved           : 2       possibility         : 2       hand                : 2       
r1                  : 2       could               : 2       consequence         : 2       view                : 2       
major               : 2       features            : 2       instances           : 2       least               : 2       
interact            : 2       identity            : 2       determining         : 2       structures          : 2       
times               : 2       opinion             : 2       part                : 2       natural             : 2       
rss                 : 2       11                  : 2       10                  : 2       12                  : 2       
5-star              : 2       were                : 2       distinguished       : 2       better              : 2       
viewed              : 2       chiba               : 2       adopted             : 2       webservices         : 2       
acquire             : 2       systems             : 2       detect              : 2       future              : 2       
inconsistency       : 2       especially          : 2       versa               : 2       order               : 2       
traditional         : 2       emerging            : 2       area                : 2       make                : 2       
impact              : 2       ratio               : 2       examples            : 2       explicitly          : 2       
updating            : 2       db                  : 2       15                  : 2       seldom              : 2       
remove              : 2       whether             : 2       discovery           : 2       automatic           : 2       
projections         : 2       incorporating       : 2       nature              : 2       ensures             : 2       
determined          : 2       neither             : 2       available           : 2       style               : 2       
scalability         : 2       however             : 2       multimedia          : 2       sercurity           : 2       
minds               : 2       long-term           : 2       delete              : 2       expression          : 2       
experimental        : 2       adjusted            : 2       cm                  : 2       reasons             : 2       
removal             : 2       community           : 2       learning            : 2       cs                  : 2       
math                : 2       3.3                 : 2       pj                  : 2       flexible            : 2       
ontologies          : 2       empty               : 2       define              : 2       100                 : 2       
x.                  : 2       demand              : 2       case                : 2       reliability         : 2       
limitations         : 2       itself              : 2       hong                : 2       2005                : 2       
modification        : 2       hierarchies         : 2       commonsense         : 2       effect              : 2       
co-access           : 2       student             : 2       well                : 2       consistency         : 2       
chemistry           : 2       semanticweb         : 2       just                : 2       less                : 2       
accurate            : 2       identify            : 2       designers           : 2       regarded            : 2       
maintaining         : 2       possible            : 2       non-null            : 2       know                : 2       
insert              : 2       advanced            : 2       dimensional         : 2       guarantees          : 2       
accuracy            : 2       preserves           : 2       often               : 2       deal                : 2       
conditional         : 2       searching           : 2       b1                  : 2       b2                  : 2       
specified           : 2       leaf                : 2       integration         : 2       selecting           : 2       
although            : 2       webengineering      : 2       discussed           : 2       firstly             : 2       
r2                  : 2       determine           : 2       reducing            : 2       4-star              : 2       
retrieving          : 2       low                 : 2       phenomena           : 2       refined             : 2       
differences         : 2       extended            : 2       collected           : 2       larger              : 2       
condition           : 2       pi                  : 2       default             : 2       characteristic      : 2       
social              : 2       converted           : 2       clear               : 2       changes             : 2       
required            : 2       exist               : 2       file                : 2       distributions       : 2       
statuses            : 2       40                  : 2       recognition         : 2       calculating         : 2       
dtds                : 2       establish           : 2       implies             : 2       banff               : 2       
vice                : 2       them                : 2       2002                : 2       2003                : 2       
2006                : 2       2004                : 2       put                 : 2       having              : 2       
evenly              : 2       limited             : 1       consider            : 1       chinese             : 1       
caused              : 1       excellent           : 1       desirable           : 1       splitting           : 1       
four                : 1       manages             : 1       generalize          : 1       causes              : 1       
combinatorial       : 1       indexed             : 1       graph               : 1       one-dimensional     : 1       
roles               : 1       spec-apart-gen      : 1       4nf                 : 1       tk                  : 1       
discovering         : 1       suite               : 1       nodes               : 1       include             : 1       
inter-dependent     : 1       self-reasoning      : 1       g3                  : 1       g2                  : 1       
g1                  : 1       dynamic             : 1       fall                : 1       discovered          : 1       
moderate            : 1       co-experience       : 1       presented           : 1       t1                  : 1       
t.                  : 1       vector              : 1       unifying            : 1       unsatisfied         : 1       
three-dimensional   : 1       trend               : 1       discover            : 1       design              : 1       
projecting          : 1       functioning         : 1       china.beijing       : 1       targets             : 1       
second-level        : 1       wide                : 1       transforms          : 1       emotions            : 1       
uniform             : 1       current             : 1       expressiveness      : 1       increasing          : 1       
publications        : 1       supporting          : 1       full                : 1       explosion           : 1       
lack                : 1       tradoff             : 1       along               : 1       invented            : 1       
violate             : 1       publisher           : 1       39                  : 1       deriving            : 1       
cts                 : 1       33                  : 1       involved            : 1       31                  : 1       
30                  : 1       34                  : 1       drawers             : 1       implement           : 1       
specialize          : 1       composed            : 1       up-to-date          : 1       decentralized       : 1       
regardless          : 1       scales              : 1       logical             : 1       flexibility         : 1       
boolean             : 1       guests              : 1       tools               : 1       plot                : 1       
prove               : 1       until               : 1       uniformly           : 1       tightly             : 1       
whereas             : 1       comparing           : 1       program             : 1       proposes            : 1       
inter-coordinate    : 1       deletes             : 1       granularities       : 1       almost              : 1       
sql-like            : 1       under               : 1       carrying            : 1       rigid               : 1       
keeping             : 1       districts           : 1       diverse             : 1       proof               : 1       
references          : 1       give                : 1       0.6                 : 1       high                : 1       
refine              : 1       spa                 : 1       occur               : 1       5.2                 : 1       
requirements        : 1       provide             : 1       orthogonality       : 1       species             : 1       
methodology         : 1       ordinary            : 1       explains            : 1       indian              : 1       
algebra             : 1       multiplication      : 1       efficiently         : 1       realized            : 1       
attempt             : 1       outline             : 1       explicit            : 1       element             : 1       
algorithms          : 1       specifying          : 1       definitions         : 1       words               : 1       
restriction         : 1       extents             : 1       areas               : 1       summarized          : 1       
2-star              : 1       before              : 1       24                  : 1       25                  : 1       
27                  : 1       20                  : 1       located             : 1       personal            : 1       
28                  : 1       29                  : 1       li                  : 1       feel                : 1       
detected            : 1       clusters            : 1       overcome            : 1       non                 : 1       
analysed            : 1       investigated        : 1       framework           : 1       effects             : 1       
realize             : 1       lineage             : 1       intelligent         : 1       university          : 1       
arrows              : 1       1-star              : 1       axis/point          : 1       fitness             : 1       
found               : 1       storage             : 1       weight              : 1       series              : 1       
energy              : 1       abnormal            : 1       26                  : 1       static              : 1       
vectors             : 1       our                 : 1       avoided             : 1       special             : 1       
living              : 1       shown               : 1       open                : 1       detailed            : 1       
behaviours          : 1       emerged             : 1       formula             : 1       adaptive            : 1       
sightseeing         : 1       occurs              : 1       cyber-mental        : 1       approached          : 1       
easily              : 1       contain             : 1       little              : 1       third-level         : 1       
inputting           : 1       complicated         : 1       bayes               : 1       usual               : 1       
conflicts           : 1       detecting           : 1       repeat              : 1       training            : 1       
similarly           : 1       correctness         : 1       descriptive         : 1       keep                : 1       
creater             : 1       subconsciously      : 1       onto                : 1       frequent            : 1       
grade               : 1       third               : 1       variables           : 1       powerful            : 1       
carry               : 1       checked             : 1       annotated           : 1       23                  : 1       
approximately       : 1       avoid               : 1       mining              : 1       accompany           : 1       
relationship        : 1       completed           : 1       direct              : 1       western             : 1       
manipulation        : 1       cyber-socio         : 1       14                  : 1       17                  : 1       
16                  : 1       19                  : 1       18                  : 1       distinguishes       : 1       
incites             : 1       providing           : 1       schemas             : 1       motivation          : 1       
webmining           : 1       shrinks             : 1       generality          : 1       exploring           : 1       
arduous             : 1       say                 : 1       initialized         : 1       seen                : 1       
clearly             : 1       attribute-based     : 1       angle               : 1       mappings            : 1       
depending           : 1       efficient           : 1       studying            : 1       able                : 1       
isolated            : 1       mechanism           : 1       indexes             : 1       potential           : 1       
multi-dimensions    : 1       misplacing          : 1       calculus            : 1       formulas            : 1       
play                : 1       trace               : 1       reach               : 1       eight               : 1       
significant         : 1       misjudgment         : 1       pages               : 1       countries           : 1       
average             : 1       regards             : 1       formation           : 1       duplication         : 1       
physics             : 1       notion              : 1       incomplete          : 1       laws                : 1       
incorporate         : 1       selection           : 1       distances           : 1       text                : 1       
authors             : 1       cooccurred          : 1       7.2                 : 1       fuzzy               : 1       
access              : 1       trade-off           : 1       situations          : 1       misjudge            : 1       
universal           : 1       enriched            : 1       organizes           : 1       4-dimensional       : 1       
do                  : 1       move                : 1       na?ve               : 1       establishes         : 1       
get                 : 1       familiar            : 1       bookshelfs          : 1       closely             : 1       
probably            : 1       exhibit             : 1       very                : 1       resolve             : 1       
keyword             : 1       sources             : 1       generally           : 1       recommendations     : 1       
locating            : 1       consciously         : 1       ignored             : 1       computed            : 1       
reference           : 1       intelligence        : 1       mentioned           : 1       depends             : 1       
computer            : 1       chemistry.g1.c1     : 1       techniques          : 1       knowing             : 1       
inequalities        : 1       classification-preserve: 1       inappropriate       : 1       definite            : 1       
label               : 1       taxonomies          : 1       state               : 1       correctly           : 1       
progress            : 1       supposed            : 1       terms               : 1       creating            : 1       
superior            : 1       he/she              : 1       efficiency          : 1       derive              : 1       
analyzed            : 1       modeling            : 1       e-learning          : 1       cities              : 1       
linkage             : 1       improved            : 1       resides             : 1       tractable           : 1       
region              : 1       etc                 : 1       objects             : 1       adaption            : 1       
otherwise           : 1       extent              : 1       co-naviation        : 1       gradully            : 1       
satisfaction        : 1       exhibits            : 1       considers           : 1       conference          : 1       
first-level         : 1       provinces           : 1       described           : 1       computing           : 1       
strategy            : 1       algebras            : 1       meeting             : 1       unclear             : 1       
ebdata              : 1       shopping            : 1       samples             : 1       self-organized      : 1       
formed              : 1       gap                 : 1       photos              : 1       generalizing        : 1       
sensed              : 1       denote              : 1       present             : 1       probview            : 1       
processes           : 1       unlike              : 1       euclidean           : 1       sln                 : 1       
situation           : 1       balance             : 1       3-star              : 1       facility.room       : 1       
changed             : 1       enriching           : 1       allows              : 1       tuples              : 1       
loosing             : 1       sequentially        : 1       regulate            : 1       verified            : 1       
large               : 1       realizing           : 1       views               : 1       parts               : 1       
virtually           : 1       www2005             : 1       document            : 1       lacks               : 1       
www2002             : 1       comparies           : 1       n-dimensional       : 1       comprehensive       : 1       
rdb                 : 1       sauna               : 1       uses                : 1       interested          : 1       
webdata             : 1       obeyed              : 1       scenario            : 1       largely             : 1       
markup              : 1       cultural            : 1       ccs                 : 1       thought             : 1       
directly            : 1       regulating          : 1       extensible          : 1       selections          : 1       
loss                : 1       uniquely            : 1       ui                  : 1       construct           : 1       
being               : 1       rule2               : 1       ci                  : 1       intervals           : 1       
atomic              : 1       aspect              : 1       world               : 1       useful              : 1       
coordinating        : 1       32                  : 1       instance            : 1       thinking            : 1       
except              : 1       recommending        : 1       add                 : 1       easy                : 1       
reason              : 1       input               : 1       0.5                 : 1       transformation      : 1       
smart               : 1       real                : 1       c.                  : 1       capacities          : 1       
corresponds         : 1       increases           : 1       traffic             : 1       taking              : 1       
meaning             : 1       necessary           : 1       helpful             : 1       identifying         : 1       
user-defined        : 1       associate           : 1       units               : 1       specific            : 1       
steps               : 1       either              : 1       lose                : 1       specifies           : 1       
judge               : 1       functional          : 1       unnecessary         : 1       sure                : 1       
images              : 1       exists              : 1       happens             : 1       gradually           : 1       
scale               : 1       micro               : 1       affects             : 1       comments            : 1       
referential         : 1       provides            : 1       l2                  : 1       refer               : 1       
specializing        : 1       equivalent          : 1       step                : 1       cube                : 1       
analysized          : 1       xi/xj               : 1       takes               : 1       chapter             : 1       
comparison          : 1       anything            : 1       tracing             : 1       theorems            : 1       
acm                 : 1       thousands           : 1       co-experiencing     : 1       swimming            : 1       
owl                 : 1       own                 : 1       within              : 1       child               : 1       
movements           : 1       selected            : 1       theoretically       : 1       clustering          : 1       
networking          : 1       innate              : 1       removing            : 1       unchanging          : 1       
initial             : 1       u1                  : 1       transform           : 1       long                : 1       
u2                  : 1       much                : 1       way                 : 1       200usd              : 1       
applicable          : 1       subjective          : 1       economic            : 1       construction        : 1       
repeatedly          : 1       true                : 1       deployed            : 1       coupling            : 1       
extend              : 1       reserve             : 1       p.xi                : 1       up                  : 1       
cim                 : 1       politic             : 1       retaining           : 1       ruling              : 1       
essential           : 1       heterogeneous       : 1       subclasses          : 1       positioning         : 1       
high-dimensional    : 1       storing             : 1       proved              : 1       videos              : 1       
recognize           : 1       5.1                 : 1       citation            : 1       alarm               : 1       
scientific          : 1       reflecting          : 1       defines             : 1       inter-point         : 1       
classifying         : 1       compared            : 1       completeness        : 1       top-down            : 1       
dotted              : 1       41                  : 1       compares            : 1       appending           : 1       
mathematics         : 1       xml&w               : 1       setting             : 1       update              : 1       
superclass          : 1       generated           : 1       studied             : 1       resolving           : 1       
quite               : 1       together            : 1       understand          : 1       deluxe              : 1       
expands             : 1       classical           : 1       

WP_Fdic:
['the', 'DT']                      : 777     ['and', 'CC']                      : 279     ['of', 'IN']                       : 269     
['to', 'TO']                       : 240     ['in', 'IN']                       : 240     ['space', 'NN']                    : 233     
['resource', 'NN']                 : 231     ['-rrb-', '-RRB-']                 : 221     ['-lrb-', '-LRB-']                 : 219     
['is', 'VBZ']                      : 175     ['can', 'MD']                      : 114     ['resources', 'NNS']               : 111     
['be', 'VB']                       : 108     ['for', 'IN']                      : 71      ['that', 'IN']                     : 70      
['on', 'IN']                       : 67      ['are', 'VBP']                     : 57      ['probability', 'NN']              : 55      
['classification', 'NN']           : 55      ['probabilistic', 'JJ']            : 51      ['-lsb-', 'NNP']                   : 50      
['as', 'IN']                       : 49      ['membership', 'NN']               : 49      ['belongs', 'VBZ']                 : 47      
['with', 'IN']                     : 47      ['...', ':']                       : 46      ['by', 'IN']                       : 45      
['it', 'PRP']                      : 42      ['into', 'IN']                     : 42      ['rsm', 'NNP']                     : 42      
['from', 'IN']                     : 41      ['or', 'CC']                       : 41      ['model', 'NN']                    : 40      
['between', 'IN']                  : 39      ['point', 'NN']                    : 38      ['semantic', 'JJ']                 : 38      
['spaces', 'NNS']                  : 38      ['-rsb-', 'NNP']                   : 38      ['rs', 'NNP']                      : 37      
['axis', 'NNS']                    : 37      ['each', 'DT']                     : 37      ['at', 'IN']                       : 36      
['if', 'IN']                       : 35      ['mental', 'JJ']                   : 33      ['two', 'CD']                      : 33      
['-rcb-', '-RRB-']                 : 32      ['points', 'NNS']                  : 32      ['this', 'DT']                     : 32      
['prob', 'NNP']                    : 32      ['according', 'VBG']               : 31      ['-rsb-', 'NNS']                   : 31      
['x1', 'NNP']                      : 31      ['users', 'NNS']                   : 30      ['-lcb-', '-LRB-']                 : 30      
['cyber', 'NN']                    : 26      ['2nf', 'CD']                      : 25      ['coordinate', 'NN']               : 24      
['axes', 'NNS']                    : 24      ['1nf', 'CD']                      : 23      ['following', 'JJ']                : 23      
['not', 'RB']                      : 23      ['an', 'DT']                       : 23      ['one', 'CD']                      : 22      
['relational', 'JJ']               : 22      ['operations', 'NNS']              : 21      ['physical', 'JJ']                 : 21      
['different', 'JJ']                : 21      ['various', 'JJ']                  : 21      ['services', 'NNS']                : 20      
['will', 'MD']                     : 20      ['number', 'NN']                   : 20      ['p-rsm', 'NN']                    : 20      
['classifications', 'NNS']         : 20      ['manage', 'VB']                   : 19      ['any', 'DT']                      : 19      
['such', 'JJ']                     : 19      ['where', 'WRB']                   : 19      ['set', 'NN']                      : 19      
['xn', 'NNP']                      : 18      ['xi', 'NNP']                      : 18      ['search', 'NN']                   : 18      
['socio', 'NN']                    : 18      ['when', 'WRB']                    : 17      ['papers', 'NNS']                  : 17      
['cyber-physical', 'JJ']           : 17      ['link', 'NN']                     : 17      ['also', 'RB']                     : 17      
['-lsb-', 'VBG']                   : 17      ['society', 'NN']                  : 16      ['same', 'JJ']                     : 16      
['3nf', 'CD']                      : 16      ['data', 'NN']                     : 15      ['normal', 'JJ']                   : 15      
['its', 'PRP$']                    : 15      ['other', 'JJ']                    : 15      ['probabilities', 'NNS']           : 15      
