f0003:

W_Fdic:
the                 : 1381    and                 : 886     of                  : 530     space               : 482     
learning            : 9       scientific          : 9       a1                  : 9       evolves             : 9       
health              : 9       generate            : 9       kind                : 9       turing              : 9       
processing          : 9       control             : 9       modeling            : 9       patterns            : 9       
because             : 9       functions           : 9       limited             : 8       changed             : 8       
approaches          : 8       object              : 8       thoughts            : 8       indirect            : 8       
concept             : 8       live                : 8       needs               : 8       representation      : 8       
theory              : 8       symmetry            : 8       given               : 8       lens                : 8       
future              : 8       them                : 8       develop             : 8       includes            : 8       
pass                : 8       establish           : 8       event               : 8       instances           : 8       
culture             : 8       whole               : 8       raise               : 8       due                 : 8       
higher              : 8       behaving            : 8       behavior            : 8       existing            : 8       
include             : 8       intelligent         : 8       memex               : 8       interacting         : 8       
lead                : 8       a2                  : 8       made                : 8       indicates           : 7       
fig                 : 7       exploring           : 7       approach            : 7       extend              : 7       
dynamicity          : 7       models              : 7       science             : 7       improving           : 7       
ideas               : 7       you                 : 7       scientists          : 7       fundamental         : 7       
philosophical       : 7       interact            : 7       schema              : 7       signals             : 7       
location            : 7       question            : 7       line                : 7       similar             : 7       
single              : 7       diverse             : 7       zooming             : 7       web/internet        : 7       
query               : 7       cyber-physical      : 7       others              : 7       scales              : 7       
including           : 7       could               : 7       documents           : 7       words               : 7       
although            : 7       versatile           : 7       rule                : 7       disciplines         : 6       
direct              : 6       changes             : 6       work                : 6       typed               : 6       
personal            : 6       little              : 6       principle           : 6       do                  : 6       
cooperation         : 6       nature              : 6       interacts           : 6       op1                 : 6       
op2                 : 6       op3                 : 6       specific            : 6       beings              : 6       
relational          : 6       usually             : 6       values              : 6       derive              : 6       
em                  : 6       emerges             : 6       friend              : 6       way                 : 6       
answering           : 6       get                 : 6       solve               : 6       real                : 6       
output              : 6       competition         : 6       there               : 6       statuses            : 6       
difference          : 6       past                : 6       search              : 6       texts               : 6       
controlling         : 6       derived             : 6       hierarchy           : 6       food                : 6       
idea                : 6       determined          : 6       both                : 6       composition         : 6       
person              : 6       bc                  : 6       defined             : 6       indicating          : 6       
self-similarity     : 6       cooperate           : 6       integrating         : 6       schemas             : 6       
object-oriented     : 6       87                  : 6       representations     : 6       well-being          : 6       
should              : 6       view                : 6       sensed              : 6       study               : 5       
indicated           : 5       worldview           : 5       description         : 5       production          : 5       
large               : 5       organize            : 5       meaning             : 5       situations          : 5       
architecture        : 5       result              : 5       oomd                : 5       extent              : 5       
suggested           : 5       basis               : 5       cultural            : 5       harmoniously        : 5       
short-term          : 5       efforts             : 5       forming             : 5       ''                  : 5       
-lcb-               : 5       layers              : 5       studied             : 5       explicit            : 5       
establishing        : 5       domain              : 5       11                  : 5       pages               : 5       
actively            : 5       reading             : 5       external            : 5       developing          : 5       
extended            : 5       no                  : 5       aspects             : 5       early               : 5       
ontology            : 5       slns                : 5       area                : 5       removing            : 5       
technologies        : 5       general             : 5       students            : 5       a3                  : 5       
issue               : 5       tea                 : 5       movement            : 5       takes               : 5       
learn               : 5       existence           : 5       detected            : 5       channels            : 5       
connect             : 5       denoted             : 5       reason              : 5       motivation          : 5       
peer-to-peer        : 5       significant         : 5       traditional         : 5       triangle            : 5       
available           : 5       belong              : 5       database            : 5       analysis            : 5       
distances           : 5       consensus           : 5       creation            : 5       back                : 5       
economic            : 5       measured            : 5       generated           : 5       paintings           : 5       
explore             : 5       rdf                 : 5       themselves          : 5       challenge           : 5       
efficiently         : 5       introduced          : 5       clusters            : 5       realize             : 5       
82                  : 5       priority            : 5       need                : 5       mappings            : 5       
areas               : 5       computer            : 5       -rcb-               : 5       interface           : 5       
units               : 5       large-scale         : 5       add                 : 5       necessary           : 5       
phenomena           : 5       construction        : 5       problem             : 5       ecological          : 5       
dynamic             : 4       graph-based         : 4       cooperatively       : 4       established         : 4       
zoom-out            : 4       net                 : 4       path                : 4       explained           : 4       
browse              : 4       organized           : 4       classifying         : 4       operate             : 4       
satisfied           : 4       writing             : 4       features            : 4       roles               : 4       
tree                : 4       project             : 4       isolated            : 4       transmit            : 4       
effectiveness       : 4       peers               : 4       professor           : 4       rich                : 4       
depends             : 4       capacity            : 4       artificial          : 4       we                  : 4       
three               : 4       several             : 4       belongs             : 4       performance         : 4       
security            : 4       ensure              : 4       automatically       : 4       rely                : 4       
differences         : 4       devices             : 4       actuators           : 4       role                : 4       
global              : 4       word                : 4       emphasized          : 4       discover            : 4       
uniform             : 4       supporting          : 4       teacher             : 4       healthy             : 4       
navigation          : 4       memory              : 4       effort              : 4       raised              : 4       
presence            : 4       coordinates         : 4       cognition           : 4       arrows              : 4       
shows               : 4       thing               : 4       place               : 4       open                : 4       
structures          : 4       population          : 4       13                  : 4       sciences            : 4       
online              : 4       resource            : 4       vision              : 4       formed              : 4       
document            : 4       relies              : 4       thinking            : 4       easily              : 4       
ai                  : 4       follow              : 4       preserved           : 4       further             : 4       
subspaces           : 4       action              : 4       analyzing           : 4       uniformity          : 4       
paper               : 4       reflected           : 4       evaluation          : 4       base                : 4       
probability         : 4       feel                : 4       part                : 4       toward              : 4       
organs              : 4       orders              : 4       interconnection     : 4       added               : 4       
experiences         : 4       sustainable         : 4       uses                : 4       long-term           : 4       
great               : 4       understand          : 4       loop                : 4       user                : 4       
hyperlinks          : 4       transformation      : 4       methods             : 4       behave              : 4       
innovation          : 4       77                  : 4       76                  : 4       long                : 4       
composing           : 4       problems            : 4       robots              : 4       results             : 4       
concerned           : 4       pre-designed        : 4       categories          : 4       access              : 4       
facets              : 4       buildings           : 4       2010                : 4       constraints         : 4       
ask                 : 4       facilitate          : 4       interests           : 4       richer              : 4       
studying            : 4       on-demand           : 4       why                 : 4       contain             : 4       
efficiency          : 4       indicators          : 4       value               : 4       simple              : 4       
page                : 4       expansion           : 4       multi-disciplinary  : 4       software            : 4       
networking          : 4       whether             : 4       similarity          : 3       four                : 3       
under               : 3       classifications     : 3       enhance             : 3       47                  : 3       
browsing            : 3       mutual              : 3       unit                : 3       maintain            : 3       
algorithms          : 3       order               : 3       over                : 3       pervasive           : 3       
classified          : 3       reasonable          : 3       scopes              : 3       perception          : 3       
associate           : 3       correctness         : 3       render              : 3       adopted             : 3       
corpus              : 3       modern              : 3       contents            : 3       extending           : 3       
notion              : 3       bush                : 3       establishes         : 3       techniques          : 3       
continually         : 3       conceptual          : 3       he/she              : 3       improve             : 3       
climate             : 3       adapted             : 3       active              : 3       much                : 3       
designers           : 3       transformed         : 3       advanced            : 3       51                  : 3       
often               : 3       influencing         : 3       his/her             : 3       delete              : 3       
abstract            : 3       exist               : 3       digital             : 3       leads               : 3       
hold                : 3       orthogonal          : 3       emphasizes          : 3       revolution          : 3       
centrality          : 3       sharing             : 3       analogical          : 3       labeled             : 3       
making              : 3       inheritance         : 3       produce             : 3       80                  : 3       
mainly              : 3       still               : 3       window              : 3       shown               : 3       
increase            : 3       transforming        : 3       inductive           : 3       cycles              : 3       
directly            : 3       structured          : 3       12                  : 3       15                  : 3       
14                  : 3       topics              : 3       especially          : 3       developed           : 3       
regarding           : 3       ways                : 3       nearby              : 3       prototype           : 3       
enable              : 3       engineering         : 3       good                : 3       author              : 3       
macro               : 3       guided              : 3       grounded            : 3       around              : 3       
read                : 3       grid                : 3       organizing          : 3       generates           : 3       
dimensions          : 3       decomposition       : 3       communication       : 3       low                 : 3       
describe            : 3       represent           : 3       children            : 3       co-computing        : 3       
accompanying        : 3       operating           : 3       family              : 3       select              : 3       
destination         : 3       particular          : 3       respective          : 3       influences          : 3       
communicating       : 3       retrieval           : 3       essence             : 3       pronomes            : 3       
framework           : 3       micro               : 3       found               : 3       friendship          : 3       
hard                : 3       beyond              : 3       major               : 3       construct           : 3       
translation         : 3       aims                : 3       internal            : 3       play                : 3       
find                : 3       his                 : 3       express             : 3       shared              : 3       
stored              : 3       locating            : 3       context             : 3       reasons             : 3       
described           : 3       pj                  : 3       pi                  : 3       assigning           : 3       
guide               : 3       regulate            : 3       traffic             : 3       waste               : 3       
collect             : 3       sketch              : 3       scale               : 3       together            : 3       
mobile              : 3       autonomous          : 3       application         : 3       age                 : 3       
go                  : 3       helps               : 3       experiencing        : 3       opinion             : 3       
decentralized       : 3       motor               : 3       fed                 : 3       carrying            : 3       
high                : 3       effectively         : 3       regions             : 3       co-evolve           : 3       
philosophy          : 3       multiplication      : 3       light               : 3       facilitates         : 3       
constitute          : 3       81                  : 3       special             : 3       adaptive            : 3       
cause               : 3       keep                : 3       accompany           : 3       distinguished       : 3       
viewed              : 3       able                : 3       instance            : 3       best                : 3       
collaboration       : 3       connected           : 3       minsky              : 3       means               : 3       
coordinating        : 3       requirement         : 3       state               : 3       routing             : 3       
bridges             : 3       key                 : 3       addition            : 3       define              : 3       
senses              : 3       corresponding       : 3       present             : 3       input               : 3       
modeled             : 3       coordination        : 3       facial              : 3       statistical         : 3       
home                : 3       selecting           : 3       self-organization   : 3       stage               : 3       
extension           : 3       dependence          : 3       functional          : 3       places              : 3       
denote              : 3       virtual             : 3       consists            : 2       ontological         : 2       
collaborate         : 2       navigating          : 2       human-machine       : 2       crops               : 2       
enjoy               : 2       force               : 2       euclidean           : 2       above               : 2       
simultaneously      : 2       notions             : 2       represented         : 2       suitable            : 2       
total               : 2       therefore           : 2       recommend           : 2       tell                : 2       
90                  : 2       ma                  : 2       thales              : 2       preserving          : 2       
involve             : 2       after               : 2       collecting          : 2       keeps               : 2       
executes            : 2       cause-effect        : 2       laozi               : 2       enrich              : 2       
grand               : 2       break               : 2       structural          : 2       represents          : 2       
brings              : 2       content             : 2       adapt               : 2       creates             : 2       
instruct            : 2       historical          : 2       abstracting         : 2       navigate            : 2       
assessed            : 2       cyber-physical-physiological-psychological-socio-mental: 2       k-line              : 2       pursuing            : 2       
integrate           : 2       wide                : 2       plato               : 2       incorporating       : 2       
wikipedia           : 2       readers             : 2       argue               : 2       quickly             : 2       
interest            : 2       light-weight        : 2       determining         : 2       aim                 : 2       
remembering         : 2       perform             : 2       hierarchies         : 2       cycle               : 2       
photo               : 2       proposes            : 2       ease                : 2       passive             : 2       
technological       : 2       possible            : 2       unification         : 2       background          : 2       
52                  : 2       meters              : 2       limitation          : 2       intercultural       : 2       
propagate           : 2       soa                 : 2       contains            : 2       statements          : 2       
facility            : 2       maxwell             : 2       preliminary         : 2       rendering           : 2       
right               : 2       refined             : 2       transform           : 2       questionable        : 2       
ni                  : 2       daily               : 2       graph               : 2       two-way             : 2       
isonomes            : 2       falling             : 2       along               : 2       box                 : 2       
cases               : 2       confucius           : 2       longitude           : 2       predict             : 2       
agent               : 2       discussion          : 2       map                 : 2       designer            : 2       
explores            : 2       designed            : 2       conscious           : 2       pollution           : 2       
motions             : 2       argued              : 2       unveiling           : 2       views               : 2       
retrieve            : 2       breakthrough        : 2       ep                  : 2       hardware            : 2       
carry               : 2       nutrition           : 2       mining              : 2       representing        : 2       
17                  : 2       16                  : 2       apples              : 2       accessed            : 2       
files               : 2       locations           : 2       attribute-based     : 2       efficient           : 2       
take                : 2       objective           : 2       channel             : 2       price               : 2       
cortex              : 2       enriched            : 2       definite            : 2       enough              : 2       
analyzed            : 2       cities              : 2       motivations         : 2       61                  : 2       
67                  : 2       linguistic          : 2       photos              : 2       observe             : 2       
those               : 2       sub-schema          : 2       cluster             : 2       intelligently       : 2       
speech              : 2       fruit               : 2       minimize            : 2       without             : 2       
coordinate          : 2       touch               : 2       preference          : 2       execution           : 2       
benefit             : 2       satisfactory        : 2       provided            : 2       provides            : 2       
semantically        : 2       communicate         : 2       discussed           : 2       neighbor            : 2       
act                 : 2       road                : 2       implies             : 2       multi-space         : 2       
behavior-based      : 2       beliefs             : 2       vehicles            : 2       imagination         : 2       
collaborative       : 2       a4                  : 2       spouse              : 2       building            : 2       
starting            : 2       decisions           : 2       causes              : 2       activities          : 2       
t0                  : 2       small               : 2       invention           : 2       perspective         : 2       
nonlinear           : 2       public              : 2       contrast            : 2       answers             : 2       
zoom-in             : 2       stretching          : 2       inspires            : 2       literary            : 2       
soil                : 2       surface             : 2       known               : 2       self-organize       : 2       
evolved             : 2       specialized         : 2       history             : 2       arise               : 2       
species             : 2       goal                : 2       acts                : 2       att                 : 2       
maps                : 2       25                  : 2       29                  : 2       alter               : 2       
try                 : 2       psychology          : 2       discrete            : 2       hill                : 2       
imagine             : 2       definition          : 2       co-location         : 2       consequence         : 2       
unhealthy           : 2       story               : 2       temperature         : 2       divorce             : 2       
paranomes           : 2       newell              : 2       authors             : 2       recognizing         : 2       
programmers         : 2       measures            : 2       reach               : 2       most                : 2       
74                  : 2       windows             : 2       sometimes           : 2       cover               : 2       
physics             : 2       phenomenon          : 2       less                : 2       invoke              : 2       
trees               : 2       enemy               : 2       common              : 2       art                 : 2       
close               : 2       visualize           : 2       expert              : 2       conditions          : 2       
creating            : 2       attention           : 2       sub-healthy         : 2       sensitive           : 2       
generating          : 2       demand              : 2       evaluated           : 2       larger              : 2       
itself              : 2       lower               : 2       human-centered      : 2       useful              : 2       
cup                 : 2       source              : 2       parents             : 2       formal              : 2       
mathematical        : 2       ecology             : 2       instantiating       : 2       run                 : 2       
coexist             : 2       up                  : 2       us                  : 2       continuously        : 2       
tends               : 2       required            : 2       socrates            : 2       far                 : 2       
requires            : 2       having              : 2       entire              : 2       notes               : 2       
video               : 2       plays               : 2       believed            : 2       involved            : 2       
manage              : 2       refers              : 2       consumption         : 2       started             : 2       
zooming-in          : 2       realized            : 2       agricultural        : 2       write               : 2       
micro-environment   : 2       temporal            : 2       latitude            : 2       worlds              : 2       
establishment       : 2       accompanies         : 2       transmitted         : 2       traces              : 2       
88                  : 2       retrieved           : 2       sustainability      : 2       explored            : 2       
restaurants         : 2       reflexive           : 2       precisely           : 2       quality             : 2       
publication         : 2       privacy             : 2       unknown             : 2       final               : 2       
symbiosis           : 2       manipulation        : 2       observed            : 2       viewer              : 2       
gravity             : 2       emerged             : 2       pursues             : 2       intentions          : 2       
definitions         : 2       intrinsic           : 2       painting            : 2       high-level          : 2       
inherited           : 2       achieve             : 2       overall             : 2       gray                : 2       
knowing             : 2       pattern             : 2       importance          : 2       p2p                 : 2       
environments        : 2       table               : 2       airplanes           : 2       ensuring            : 2       
cross               : 2       student             : 2       thought             : 2       firstly             : 2       
audio               : 2       discord             : 2       obtain              : 2       sources             : 2       
repositories        : 2       library             : 2       recommendation      : 2       chains              : 2       
locate              : 2       eco-grid            : 2       cancelation         : 2       own                 : 2       
roads               : 2       cells               : 2       record              : 2       display             : 2       
recognize           : 2       universal           : 2       86                  : 2       kinds               : 2       
living              : 2       ranks               : 2       portion             : 2       compete             : 2       
yellow              : 1       facilities          : 1       sleep               : 1       localized           : 1       
feeding             : 1       teaching            : 1       worth               : 1       incurs              : 1       
rise                : 1       connects            : 1       every               : 1       bringing            : 1       
vast                : 1       differentiated      : 1       vector              : 1       unifying            : 1       
locked-in           : 1       tired               : 1       phones              : 1       feasibility         : 1       
second              : 1       49                  : 1       implemented         : 1       expressions         : 1       
organisms           : 1       cooking             : 1       near                : 1       designing           : 1       
consisting          : 1       metadata            : 1       sunspot             : 1       pursuit             : 1       
interpret           : 1       addnode             : 1       electricity         : 1       criticism           : 1       
appropriately       : 1       would               : 1       motivate            : 1       negative            : 1       
program             : 1       rationalism         : 1       separated           : 1       textnet             : 1       
multi-channel       : 1       aware               : 1       equipments          : 1       correspondingly     : 1       
91                  : 1       92                  : 1       heterogeneity       : 1       1999                : 1       
neurons             : 1       rationalists        : 1       give                : 1       want                : 1       
organizes           : 1       attract             : 1       verify              : 1       classify            : 1       
replacing           : 1       m?a                 : 1       minimized           : 1       summarize           : 1       
meaningful          : 1       sparql              : 1       ultimate            : 1       restriction         : 1       
interpretation      : 1       feedback            : 1       nets                : 1       better              : 1       
cref                : 1       one-to-one          : 1       grammar             : 1       backgrounds         : 1       
series              : 1       399                 : 1       extract             : 1       ring                : 1       
reused              : 1       restricted          : 1       mccarthy            : 1       got                 : 1       
free                : 1       cross-referenced    : 1       starts              : 1       +1                  : 1       
isb                 : 1       rank                : 1       restrict            : 1       fiction             : 1       
needed              : 1       too                 : 1       john                : 1       insightful          : 1       
enhancing           : 1       serve               : 1       incur               : 1       cyber-socio         : 1       
expanding           : 1       magnetic-resonance  : 1       bridge              : 1       sees                : 1       
respecting          : 1       raw                 : 1       manner              : 1       addlink             : 1       
overlays            : 1       relatively          : 1       1968                : 1       responsible         : 1       
1963                : 1       recommended         : 1       optimized           : 1       morality            : 1       
episode             : 1       inspire             : 1       opinions            : 1       labels              : 1       
colors              : 1       participate         : 1       subtle              : 1       latent              : 1       
addrule             : 1       summarizing         : 1       borrowed            : 1       supplies            : 1       
seemly              : 1       textbooks           : 1       implication         : 1       automatic           : 1       
delrule             : 1       sameage             : 1       detection           : 1       simplest            : 1       
drawn               : 1       discovery           : 1       preserve            : 1       terms               : 1       
restricting         : 1       effect-aware        : 1       carbon              : 1       merging             : 1       
logic               : 1       negotiation         : 1       height              : 1       trust               : 1       
speak               : 1       flexibly            : 1       puts                : 1       expected            : 1       
collections         : 1       dynamically         : 1       duties              : 1       graphical           : 1       
delnode             : 1       coherent            : 1       mcs                 : 1       mcp                 : 1       
applied             : 1       rationally          : 1       balance             : 1       precede             : 1       
entity-relation     : 1       machine-enabled     : 1       actuates            : 1       specialization      : 1       
realizing           : 1       clearly             : 1       body-centered       : 1       evaluate            : 1       
ispartof            : 1       meets               : 1       opportunity         : 1       scenario            : 1       
programs            : 1       stimuli             : 1       fusion              : 1       simulated           : 1       
paradigm            : 1       unified             : 1       newton              : 1       transforms          : 1       
32                  : 1       yet                 : 1       monitored           : 1       candidate           : 1       
character           : 1       evidences           : 1       massively           : 1       save                : 1       
gave                : 1       clustered           : 1       shadow              : 1       59                  : 1       
58                  : 1       55                  : 1       54                  : 1       57                  : 1       
56                  : 1       zoom                : 1       53                  : 1       offices             : 1       
arbitrary           : 1       signal              : 1       performing          : 1       old                 : 1       
shuttles            : 1       temporally          : 1       intellect           : 1       sociology           : 1       
electromagnetic     : 1       subclass            : 1       everything          : 1       asking              : 1       
steps               : 1       participation       : 1       minimization        : 1       predicting          : 1       
manufacturing       : 1       properties          : 1       nerve               : 1       primitive           : 1       
obtaining           : 1       refines             : 1       balances            : 1       down                : 1       
dreyfus             : 1       reducing            : 1       compression         : 1       flying              : 1       
fraction            : 1       on-line             : 1       happy               : 1       manufacturers       : 1       
understandable      : 1       true                : 1       builds              : 1       maximum             : 1       
mtl                 : 1       stages              : 1       mirror              : 1       covers              : 1       
expertise           : 1       dotted              : 1       locality            : 1       generally           : 1       
