f0005:

W_Fdic:
the                 : 1154    and                 : 822     of                  : 663     to                  : 448     
paradigms           : 6       verification        : 6       2006                : 6       languages           : 6       
scales              : 6       effectively         : 6       out                 : 6       planning            : 6       
gray                : 6       efficiency          : 6       table               : 6       architectures       : 6       
obtain              : 6       phenomena           : 6       includes            : 6       volume              : 6       
force               : 5       even                : 5       above               : 5       consisting          : 5       
approaches          : 5       guide               : 5       changes             : 5       word                : 5       
involve             : 5       indicates           : 5       answer              : 5       abstraction         : 5       
effective           : 5       operate             : 5       over                : 5       independent         : 5       
generative          : 5       stream              : 5       programs            : 5       contents            : 5       
proposed            : 5       explain             : 5       rich                : 5       automatic           : 5       
artificial          : 5       extend              : 5       country             : 5       engines             : 5       
several             : 5       just                : 5       facts               : 5       previous            : 5       
regarded            : 5       manufacturing       : 5       connected           : 5       advantages          : 5       
neumann             : 5       transform           : 5       differences         : 5       node                : 5       
leads               : 5       along               : 5       hilbert             : 5       insights            : 5       
map                 : 5       product             : 5       years               : 5       platform            : 5       
nor                 : 5       shown               : 5       programming         : 5       directly            : 5       
illness             : 5       say                 : 5       online              : 5       ways                : 5       
formed              : 5       minds               : 5       empiricism          : 5       ontology            : 5       
valuable            : 5       connect             : 5       investment          : 5       inspired            : 5       
select              : 5       characteristics     : 5       goal                : 5       framework           : 5       
difficult           : 5       analogy             : 5       experiences         : 5       significant         : 5       
shared              : 5       unconscious         : 5       interfaces          : 5       long-term           : 5       
collected           : 5       levels              : 5       useful              : 5       discipline          : 5       
tables              : 5       collect             : 5       accelerate          : 5       run                 : 5       
computational       : 5       required            : 5       2009                : 5       results             : 5       
products            : 5       involves            : 5       co-evolve           : 5       high-performance    : 5       
strategic           : 5       monkey              : 5       efficiently         : 5       mechanism           : 5       
url                 : 5       databases           : 5       selection           : 5       insight             : 5       
coordinating        : 5       processed           : 5       neither             : 5       attributes          : 5       
al                  : 5       layer               : 5       effect              : 5       patterns            : 5       
whether             : 5       webpages            : 5       reflecting          : 5       factors             : 5       
relationships       : 4       local-to-global     : 4       program             : 4       type                : 4       
1998                : 4       organized           : 4       worldview           : 4       cyberspace          : 4       
correlation         : 4       data-intensive      : 4       personal            : 4       unknown             : 4       
too                 : 4       isolated            : 4       principle           : 4       inspire             : 4       
solutions           : 4       techniques          : 4       continually         : 4       unable              : 4       
approach            : 4       improve             : 4       simplification      : 4       dynamically         : 4       
realizing           : 4       linked              : 4       visualization       : 4       core                : 4       
rely                : 4       focus               : 4       layers              : 4       cyber               : 4       
marketing           : 4       change              : 4       working             : 4       prove               : 4       
theoretical         : 4       cases               : 4       definitions         : 4       indeed              : 4       
still               : 4       motion              : 4       predictive          : 4       bio-symbiosis       : 4       
answering           : 4       sciences            : 4       discovered          : 4       get                 : 4       
mapped              : 4       detect              : 4       heterogeneous       : 4       cities              : 4       
brahe               : 4       among               : 4       period              : 4       good                : 4       
events              : 4       driven              : 4       relies              : 4       supports            : 4       
output              : 4       competition         : 4       database            : 4       discusses           : 4       
image               : 4       area                : 4       complete            : 4       activities          : 4       
influences          : 4       retrieval           : 4       energy              : 4       health              : 4       
toward              : 4       dependent           : 4       sustainable         : 4       capabilities        : 4       
create              : 4       due                 : 4       demand              : 4       technical           : 4       
lower               : 4       task                : 4       abilities           : 4       ...                 : 4       
individuals         : 4       forming             : 4       consist             : 4       values              : 4       
explore             : 4       cloud               : 4       isomorphism         : 4       object-oriented     : 4       
symbols             : 4       facilitates         : 4       2010                : 4       verifying           : 4       
constitute          : 4       cause-effect        : 4       proposing           : 4       environmental       : 4       
regards             : 4       high-level          : 4       knowing             : 4       requirement         : 4       
correlations        : 4       interacting         : 4       incorporating       : 4       sets                : 4       
discuss             : 4       extends             : 4       recognition         : 4       selecting           : 4       
getting             : 4       record              : 4       computable          : 4       contribute          : 4       
variety             : 4       four                : 3       calculate           : 3       pragmatism          : 3       
explained           : 3       therefore           : 3       recommend           : 3       rationalism         : 3       
1993                : 3       theories            : 3       era                 : 3       far                 : 3       
writers             : 3       description         : 3       after               : 3       meaningful          : 3       
un-computable       : 3       combination         : 3       enrich              : 3       extract             : 3       
standard            : 3       onto                : 3       rejected            : 3       classes             : 3       
extracting          : 3       effectiveness       : 3       points              : 3       participate         : 3       
blei                : 3       wikipedia           : 3       cooperation         : 3       extent              : 3       
essentially         : 3       transformed         : 3       location            : 3       split               : 3       
hand                : 3       1974                : 3       materials           : 3       equipment           : 3       
easy                : 3       possible            : 3       specific            : 3       steps               : 3       
comments            : 3       rep                 : 3       ensure              : 3       efforts             : 3       
obtaining           : 3       google              : 3       man-computer        : 3       constantly          : 3       
proved              : 3       request             : 3       exist               : 3       unaware             : 3       
relational          : 3       transportation      : 3       shift               : 3       commonly            : 3       
studies             : 3       memory              : 3       selects             : 3       effort              : 3       
making              : 3       conscious           : 3       webpage             : 3       coordinates         : 3       
policy              : 3       views               : 3       classifying         : 3       profit              : 3       
increase            : 3       attracted           : 3       shows               : 3       possibility         : 3       
inputting           : 3       complicated         : 3       neglect             : 3       first               : 3       
question            : 3       city                : 3       structured          : 3       accurately          : 3       
future              : 3       were                : 3       cyber-concepts      : 3       efficient           : 3       
price               : 3       pages               : 3       especially          : 3       wittrock            : 3       
laws                : 3       analytic            : 3       enriched            : 3       deployed            : 3       
scientist           : 3       mature              : 3       those               : 3       extended            : 3       
components          : 3       money               : 3       speed               : 3       death               : 3       
treatment           : 3       images              : 3       understandings      : 3       communicate         : 3       
develops            : 3       addition            : 3       greatly             : 3       sales               : 3       
symbol              : 3       deriving            : 3       browsers            : 3       difference          : 3       
ten                 : 3       invention           : 3       public              : 3       inspires            : 3       
self-organize       : 3       specialized         : 3       history             : 3       human-to-human      : 3       
summarization       : 3       actually            : 3       easily              : 3       document            : 3       
experiencing        : 3       mental              : 3       funding             : 3       done                : 3       
newell              : 3       authors             : 3       determines          : 3       infrastructures     : 3       
mobile              : 3       sometimes           : 3       velocity            : 3       physics             : 3       
failed              : 3       his                 : 3       stored              : 3       common              : 3       
scanning            : 3       whole               : 3       century             : 3       widely              : 3       
flows               : 3       domains             : 3       person              : 3       evaluate            : 3       
mathematical        : 3       experienced         : 3       innovation          : 3       probabilistic       : 3       
globally            : 3       application         : 3       explaining          : 3       2007                : 3       
proposition         : 3       go                  : 3       simon               : 3       include             : 3       
plays               : 3       experiment          : 3       cyber-physical      : 3       others              : 3       
receive             : 3       rdf                 : 3       tools               : 3       assumptions         : 3       
g?del               : 3       least               : 3       2013                : 3       indexing            : 3       
accompanies         : 3       related             : 3       human-level         : 3       special             : 3       
memex               : 3       facilitate          : 3       powerful            : 3       adopted             : 3       
patients            : 3       distinguished       : 3       jacobson            : 3       accuracy            : 3       
gain                : 3       emerging            : 3       inspiring           : 3       means               : 3       
brain               : 3       influenced          : 3       exists              : 3       berners-lee         : 3       
citations           : 3       streams             : 3       unclear             : 3       i.e.                : 3       
define              : 3       senses              : 3       examine             : 3       thus                : 3       
units               : 3       material            : 3       accurate            : 3       e-science           : 3       
simple              : 3       smart               : 3       agents              : 3       growth              : 3       
lead                : 3       expansion           : 3       paper               : 3       surge               : 3       
own                 : 3       utility             : 3       1989                : 3       goals               : 3       
distribution        : 3       functions           : 3       compared            : 3       virtual             : 3       
enterprises         : 3       consider            : 2       under               : 2       rational            : 2       
graph-based         : 2       companies           : 2       indices             : 2       disclose            : 2       
consistent          : 2       established         : 2       protection          : 2       china               : 2       
obtained            : 2       changed             : 2       analysts            : 2       successful          : 2       
hold                : 2       1996                : 2       feasible            : 2       attract             : 2       
guarantee           : 2       thing               : 2       hot                 : 2       transforming        : 2       
wrong               : 2       hypotheses          : 2       reforming           : 2       before              : 2       
fix                 : 2       classified          : 2       combining           : 2       conjectures         : 2       
mccarthy            : 2       adapt               : 2       free                : 2       created             : 2       
starts              : 2       render              : 2       researches          : 2       implicates          : 2       
service             : 2       top                 : 2       needed              : 2       insightful          : 2       
project             : 2       co-evolution        : 2       analyzers           : 2       1960                : 2       
object              : 2       extending           : 2       consumer            : 2       planetary           : 2       
latent              : 2       implementation      : 2       bush                : 2       plato               : 2       
report              : 2       fields              : 2       implication         : 2       projections         : 2       
on-demand           : 2       psychologists       : 2       merging             : 2       collecting          : 2       
active              : 2       much                : 2       air                 : 2       property            : 2       
ip                  : 2       perform             : 2       infeasible          : 2       inventors           : 2       
commonsense         : 2       normalization       : 2       maximizing          : 2       1978                : 2       
simulated           : 2       unified             : 2       newton              : 2       identify            : 2       
transforms          : 2       designers           : 2       objective           : 2       advanced            : 2       
security            : 2       indirect            : 2       arrest              : 2       meanings            : 2       
predicting          : 2       accepts             : 2       entrants            : 2       becoming            : 2       
stages              : 2       abstract            : 2       constructed         : 2       generally           : 2       
reality             : 2       digital             : 2       warehouse           : 2       sql                 : 2       
longer              : 2       together            : 2       quantity            : 2       chain               : 2       
1945                : 2       join                : 2       standards           : 2       trend               : 2       
supporting          : 2       meta-cognitive      : 2       water               : 2       groups              : 2       
address             : 2       box                 : 2       tasks               : 2       predictions         : 2       
live                : 2       thousands           : 2       flu                 : 2       cat                 : 2       
claim               : 2       predict             : 2       discussion          : 2       improving           : 2       
grow                : 2       man                 : 2       sectors             : 2       structuring         : 2       
statistical         : 2       globalization       : 2       constitutes         : 2       coordinated         : 2       
main                : 2       matches             : 2       retrieve            : 2       challenges          : 2       
emerges             : 2       1995                : 2       axioms              : 2       massive             : 2       
origin              : 2       bluemix             : 2       carry               : 2       impossible          : 2       
summarize           : 2       engineer            : 2       knowledge-processing: 2       specify             : 2       
constructionism     : 2       topics              : 2       ideas               : 2       trace               : 2       
normal              : 2       medias              : 2       enough              : 2       motivations         : 2       
expression          : 2       innovations         : 2       maintained          : 2       moreover            : 2       
capable             : 2       combined            : 2       observe             : 2       html                : 2       
fodor               : 2       locality            : 2       coordinate          : 2       captured            : 2       
scheduled           : 2       unveil              : 2       symbolism           : 2       identifying         : 2       
server              : 2       benefit             : 2       matching            : 2       critical            : 2       
accessing           : 2       references          : 2       nowadays            : 2       hey                 : 2       
applying            : 2       planets             : 2       statuses            : 2       field               : 2       
mathematics         : 2       collaborative       : 2       separate            : 2       students            : 2       
tiger               : 2       lack                : 2       generalize          : 2       opportunities       : 2       
cause-              : 2       very                : 2       condition           : 2       broader             : 2       
self-contained      : 2       rate                : 2       perspective         : 2       consumers           : 2       
answers             : 2       observing           : 2       published           : 2       specialize          : 2       
intensive           : 2       lowering            : 2       tested              : 2       known               : 2       
evolved             : 2       learn               : 2       compare             : 2       impacts             : 2       
concept-level       : 2       human-to-data       : 2       derived             : 2       tries               : 2       
verified            : 2       shortcomings        : 2       essence             : 2       verifies            : 2       
formulate           : 2       reduce              : 2       solved              : 2       since               : 2       
reason              : 2       base                : 2       imaging             : 2       rejects             : 2       
major               : 2       instances           : 2       utilization         : 2       introduction        : 2       
store               : 2       translation         : 2       believe             : 2       clarifying          : 2       
built               : 2       extracted           : 2       electric            : 2       programmers         : 2       
measures            : 2       plan                : 2       arising             : 2       clear               : 2       
institutions        : 2       joining             : 2       sparrow             : 2       indicator           : 2       
hope                : 2       knowledge-based     : 2       tree                : 2       see                 : 2       
expertise           : 2       connectionism       : 2       expert              : 2       conditions          : 2       
attention           : 2       distinguish         : 2       improved            : 2       large-scale         : 2       
throughout          : 2       decline             : 2       lattice             : 2       johannes            : 2       
maintenance         : 2       adoption            : 2       prices              : 2       empirical           : 2       
evaluating          : 2       computed            : 2       pylyshyn            : 2       itself              : 2       
hadoop              : 2       higher              : 2       comprehensive       : 2       uses                : 2       
deployment          : 2       accepted            : 2       readers             : 2       generalized         : 2       
customers           : 2       gradually           : 2       connecting          : 2       state-of-the-art    : 2       
retrieving          : 2       long                : 2       veracity            : 2       criteria            : 2       
up                  : 2       called              : 2       storing             : 2       constant            : 2       
accessibility       : 2       single              : 2       organizational      : 2       priori              : 2       
revision            : 2       draw                : 2       provided            : 2       replace             : 2       
2001                : 2       2005                : 2       requires            : 2       once                : 2       
query               : 2       issues              : 2       disposal            : 2       citing              : 2       
stable              : 2       grid                : 2       transmission        : 2       try                 : 2       
licklider           : 2       real-world          : 2       focuses             : 2       respectively        : 2       
delivering          : 2       leaving             : 2       makes               : 2       next                : 2       
depicted            : 2       reciprocity         : 2       themselves          : 2       optimizing          : 2       
popper              : 2       customer            : 2       integrating         : 2       meet                : 2       
control             : 2       six                 : 2       normalize           : 2       monitoring          : 2       
mid-term            : 2       estimating          : 2       2014                : 2       constraints         : 2       
separating          : 2       astronomy           : 2       posteriori          : 2       dominated           : 2       
cause               : 2       networking          : 2       4th                 : 2       quality             : 2       
synthesizing        : 2       explanation         : 2       simulate            : 2       policeman           : 2       
kleinberg           : 2       providing           : 2       false               : 2       instance            : 2       
transmit            : 2       why                 : 2       bring               : 2       operational         : 2       
candidates          : 2       familiar            : 2       compute             : 2       operates            : 2       
enhanced            : 2       pattern             : 2       use-cases           : 2       tend                : 2       
progress            : 2       importance          : 2       middle-level        : 2       demonstrate         : 2       
commenting          : 2       2002                : 2       estimation          : 2       fayyad              : 2       
otherwise           : 2       environments        : 2       adding              : 2       trajectory          : 2       
challenged          : 2       proposal            : 2       ontologies          : 2       suggested           : 2       
tycho               : 2       dataflow            : 2       dual                : 2       finite              : 2       
unconventional      : 2       expand              : 2       modeled             : 2       thought             : 2       
sensing             : 2       underlying          : 2       macroscopic         : 2       coordination        : 2       
low-level           : 2       propositions        : 2       crawled             : 2       works               : 2       
accessible          : 2       thief               : 2       recommendation      : 2       projection          : 2       
avoid               : 2       locate              : 2       biology             : 2       extension           : 2       
carries             : 2       multi-disciplinary  : 2       owl                 : 2       1982                : 2       
1980                : 2       transfer            : 2       1988                : 2       mappings            : 2       
repeated            : 2       eat                 : 2       he                  : 2       made                : 2       
mechanics           : 2       recognize           : 2       combine             : 2       conclusion          : 2       
ultimately          : 2       inspiration         : 2       ranks               : 2       writings            : 1       
homomorphism        : 1       magnetic            : 1       heliocentric        : 1       prognostics         : 1       
prusak              : 1       electricity         : 1       behaviours          : 1       multi-agents        : 1       
ontological         : 1       summarizes          : 1       connects            : 1       human-machine       : 1       
reforms             : 1       classifications     : 1       vast                : 1       open-source         : 1       
concept-space       : 1       non-action-centered : 1       vector              : 1       guiding             : 1       
commented           : 1       specially           : 1       phones              : 1       direct              : 1       
estimated           : 1       organisms           : 1       specification       : 1       conduct             : 1       
ever                : 1       refinement          : 1       mccallum            : 1       military            : 1       
adopting            : 1       diameter            : 1       divide              : 1       concept-to-concept  : 1       
highly              : 1       brought             : 1       http://www.ibm.com/big-data: 1       forums              : 1       
landscape           : 1       m.                  : 1       fragmentary         : 1       gries               : 1       
brings              : 1       yahoo               : 1       award               : 1       hofmann             : 1       
separates           : 1       continual           : 1       must                : 1       1990                : 1       
1994                : 1       data-driven         : 1       indicated           : 1       give                : 1       
cited               : 1       updated             : 1       reviewing           : 1       end                 : 1       
feature             : 1       hofman              : 1       significance        : 1       ordinary            : 1       
beauty              : 1       input-output        : 1       misunderstanding    : 1       curiosity           : 1       
minimizes           : 1       sparql              : 1       think               : 1       lengths             : 1       
maintain            : 1       order               : 1       restriction         : 1       interpretation      : 1       
feedback            : 1       satisfied           : 1       innovative          : 1       satisfies           : 1       
url-based           : 1       knowledge-intensive : 1       encapsulated        : 1       reasonability       : 1       
break               : 1       penetration         : 1       reasonable          : 1       mean                : 1       
http://www.research.ibm.com/cognitive-computing: 1       telescope           : 1       literature          : 1       clauset             : 1       
independency        : 1       driving             : 1       restricted          : 1       reader              : 1       
xu                  : 1       foundation          : 1       linear              : 1       sensory             : 1       
detecting           : 1       r1                  : 1       r2                  : 1       +3                  : 1       
+2                  : 1       +5                  : 1       recite              : 1       rank                : 1       
channels            : 1       synthesize          : 1       enumerate           : 1       implicated          : 1       
cartesian           : 1       bottom-up           : 1       similarly           : 1       engagement          : 1       
goldbach            : 1       plentiful           : 1       corpus              : 1       john                : 1       
cyber-concept       : 1       enhancing           : 1       tool                : 1       albert              : 1       
wisdom              : 1       commonsenses        : 1       incur               : 1       wasted              : 1       
